method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
Schema-Constraint,A1_source_corruption,medium_real,24,SRC_STOCK_5_PRICE,REPORT_LIMIT,5,0,0,1,0.2,0.8,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,25,SRC_STOCK_7_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,11.377096176147461,9
APA-RCA-v3,A1_source_corruption,medium_real,25,SRC_STOCK_7_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,6.259918212890625,9
AnomalyOnly,A1_source_corruption,medium_real,25,SRC_STOCK_7_PRICE,REPORT_LIMIT,9,0,0,0,0.1111111111111111,1.0,0.0171661376953125,1
Schema-Constraint,A1_source_corruption,medium_real,25,SRC_STOCK_7_PRICE,REPORT_LIMIT,7,0,0,0,0.14285714285714285,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,26,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.672983169555664,9
APA-RCA-v3,A1_source_corruption,medium_real,26,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.3668537139892578,9
AnomalyOnly,A1_source_corruption,medium_real,26,SRC_STOCK_11_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.015020370483398438,1
Schema-Constraint,A1_source_corruption,medium_real,26,SRC_STOCK_11_PRICE,REPORT_LIMIT,11,0,0,0,0.09090909090909091,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,27,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,28.667211532592773,9
APA-RCA-v3,A1_source_corruption,medium_real,27,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,53.711891174316406,9
AnomalyOnly,A1_source_corruption,medium_real,27,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.03409385681152344,1
Schema-Constraint,A1_source_corruption,medium_real,27,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,28,SRC_STOCK_8_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,24.37305450439453,9
APA-RCA-v3,A1_source_corruption,medium_real,28,SRC_STOCK_8_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.4081001281738281,9
AnomalyOnly,A1_source_corruption,medium_real,28,SRC_STOCK_8_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.015974044799804688,1
Schema-Constraint,A1_source_corruption,medium_real,28,SRC_STOCK_8_PRICE,REPORT_LIMIT,8,0,0,0,0.125,1.0,0.0,0
APA-RCA-v2,A1_source_corruption,medium_real,29,SRC_STOCK_12_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.466989517211914,9
APA-RCA-v3,A1_source_corruption,medium_real,29,SRC_STOCK_12_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,1.3720989227294922,9
AnomalyOnly,A1_source_corruption,medium_real,29,SRC_STOCK_12_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.015974044799804688,1
Schema-Constraint,A1_source_corruption,medium_real,29,SRC_STOCK_12_PRICE,REPORT_LIMIT,12,0,0,0,0.08333333333333333,1.0,0.0,0
APA-RCA-v2,A2_etl_logic_error,medium_real,0,ETL_FX_STOCK_11_PRICE,REPORT_LIMIT,4,0,0,1,0.25,0.8,9.228229522705078,9
APA-RCA-v3,A2_etl_logic_error,medium_real,0,ETL_FX_STOCK_11_PRICE,REPORT_LIMIT,4,0,0,1,0.25,0.8,4.915952682495117,9
AnomalyOnly,A2_etl_logic_error,medium_real,0,ETL_FX_STOCK_11_PRICE,REPORT_LIMIT,6,0,0,0,0.16666666666666666,1.0,0.03504753112792969,1
Schema-Constraint,A2_etl_logic_error,medium_real,0,ETL_FX_STOCK_11_PRICE,REPORT_LIMIT,65,0,0,0,0.015384615384615385,1.0,0.0,0
APA-RCA-v2,A2_etl_logic_error,medium_real,1,ETL_FX_STOCK_6_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,3.6742687225341797,9
APA-RCA-v3,A2_etl_logic_error,medium_real,1,ETL_FX_STOCK_6_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,1.363992691040039,9
AnomalyOnly,A2_etl_logic_error,medium_real,1,ETL_FX_STOCK_6_PRICE,REPORT_LIMIT,6,0,0,0,0.16666666666666666,1.0,0.015974044799804688,1
Schema-Constraint,A2_etl_logic_error,medium_real,1,ETL_FX_STOCK_6_PRICE,REPORT_LIMIT,60,0,0,0,0.016666666666666666,1.0,0.0,0
APA-RCA-v2,A2_etl_logic_error,medium_real,2,ETL_FX_STOCK_11_PRICE,REPORT_LIMIT,4,0,0,1,0.25,0.8,1.4107227325439453,9
APA-RCA-v3,A2_etl_logic_error,medium_real,2,ETL_FX_STOCK_11_PRICE,REPORT_LIMIT,4,0,0,1,0.25,0.8,2.5908946990966797,9
