method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
CVAE+APA-RCA,A3_feature_calc_error,small,1,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5118846893310547,9
APA-RCA-v2,A3_feature_calc_error,small,2,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,9.0,0,0,0,0.1111111111111111,1.0,0.743865966796875,9
CVAE+APA-RCA,A3_feature_calc_error,small,2,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.7719993591308594,9
APA-RCA-v2,A3_feature_calc_error,small,3,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,14.0,0,0,0,0.07142857142857142,1.0,0.5061626434326172,9
CVAE+APA-RCA,A3_feature_calc_error,small,3,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5011558532714844,9
APA-RCA-v2,A3_feature_calc_error,small,4,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,9.0,0,0,0,0.1111111111111111,1.0,0.5528926849365234,9
CVAE+APA-RCA,A3_feature_calc_error,small,4,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5261898040771484,9
APA-RCA-v2,A3_feature_calc_error,small,5,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,11.0,0,0,0,0.09090909090909091,1.0,0.6587505340576172,9
CVAE+APA-RCA,A3_feature_calc_error,small,5,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.782012939453125,9
APA-RCA-v2,A3_feature_calc_error,small,6,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,2.7170181274414062,9
CVAE+APA-RCA,A3_feature_calc_error,small,6,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,2.629995346069336,9
APA-RCA-v2,A3_feature_calc_error,small,7,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,26.0,0,0,0,0.038461538461538464,1.0,1.0559558868408203,9
CVAE+APA-RCA,A3_feature_calc_error,small,7,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.7579326629638672,9
APA-RCA-v2,A3_feature_calc_error,small,8,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,13.0,0,0,0,0.07692307692307693,1.0,0.5128383636474609,9
CVAE+APA-RCA,A3_feature_calc_error,small,8,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5159378051757812,9
APA-RCA-v2,A3_feature_calc_error,small,9,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,12.0,0,0,0,0.08333333333333333,1.0,0.4858970642089844,9
CVAE+APA-RCA,A3_feature_calc_error,small,9,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4870891571044922,9
APA-RCA-v2,A3_feature_calc_error,small,10,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,6.0,0,0,0,0.16666666666666666,1.0,0.5261898040771484,9
CVAE+APA-RCA,A3_feature_calc_error,small,10,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5161762237548828,9
APA-RCA-v2,A3_feature_calc_error,small,11,FEAT_VOL20_STOCK_1_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4951953887939453,9
CVAE+APA-RCA,A3_feature_calc_error,small,11,FEAT_VOL20_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.49996376037597656,9
APA-RCA-v2,A3_feature_calc_error,small,12,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4858970642089844,9
CVAE+APA-RCA,A3_feature_calc_error,small,12,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.5118846893310547,9
APA-RCA-v2,A3_feature_calc_error,small,13,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4570484161376953,9
CVAE+APA-RCA,A3_feature_calc_error,small,13,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.46896934509277344,9
APA-RCA-v2,A3_feature_calc_error,small,14,FEAT_VOL20_STOCK_1_PRICE,REPORT_LIMIT,2.0,0,1,1,0.5,0.8,0.4589557647705078,9
CVAE+APA-RCA,A3_feature_calc_error,small,14,FEAT_VOL20_STOCK_1_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.47206878662109375,9
APA-RCA-v2,A3_feature_calc_error,small,15,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,12.0,0,0,0,0.08333333333333333,1.0,0.5381107330322266,9
CVAE+APA-RCA,A3_feature_calc_error,small,15,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4940032958984375,9
APA-RCA-v2,A3_feature_calc_error,small,16,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,9.0,0,0,0,0.1111111111111111,1.0,0.46706199645996094,9
CVAE+APA-RCA,A3_feature_calc_error,small,16,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.476837158203125,9
APA-RCA-v2,A3_feature_calc_error,small,17,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,17.0,0,0,0,0.058823529411764705,1.0,0.44798851013183594,9
CVAE+APA-RCA,A3_feature_calc_error,small,17,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4730224609375,9
APA-RCA-v2,A3_feature_calc_error,small,18,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,3.0,0,1,1,0.3333333333333333,0.8,0.492095947265625,9
CVAE+APA-RCA,A3_feature_calc_error,small,18,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,1.0,1,1,1,1.0,0.8,0.4990100860595703,9
APA-RCA-v2,A3_feature_calc_error,small,19,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,6.0,0,0,0,0.16666666666666666,1.0,0.4820823669433594,9
