method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
APA-RCA-v2,A6_multi_source,medium_real,5,SRC_STOCK_4_PRICE,REPORT_STRESS,2,0,1,1,0.5,0.8,0.6351470947265625,9
AnomalyOnly,A6_multi_source,medium_real,5,SRC_STOCK_4_PRICE,REPORT_STRESS,3,0,1,1,0.3333333333333333,0.8,0.0069141387939453125,1
APA-RCA-v2,A6_multi_source,medium_real,6,SRC_STOCK_2_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.6761550903320312,9
AnomalyOnly,A6_multi_source,medium_real,6,SRC_STOCK_2_PRICE,REPORT_STRESS,2,0,1,1,0.5,0.8,0.0073909759521484375,1
APA-RCA-v2,A6_multi_source,medium_real,7,SRC_STOCK_3_PRICE,REPORT_STRESS,2,0,1,1,0.5,0.8,0.6270408630371094,9
AnomalyOnly,A6_multi_source,medium_real,7,SRC_STOCK_3_PRICE,REPORT_STRESS,2,0,1,1,0.5,0.8,0.007867813110351562,1
APA-RCA-v2,A6_multi_source,medium_real,8,SRC_STOCK_2_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.6272792816162109,9
AnomalyOnly,A6_multi_source,medium_real,8,SRC_STOCK_2_PRICE,REPORT_STRESS,2,0,1,1,0.5,0.8,0.0069141387939453125,1
APA-RCA-v2,A6_multi_source,medium_real,9,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.640869140625,9
AnomalyOnly,A6_multi_source,medium_real,9,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,4,0,0,1,0.25,0.8,0.0069141387939453125,1
APA-RCA-v2,A7_coincidental,medium_real,0,SRC_STOCK_5_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.7300376892089844,9
AnomalyOnly,A7_coincidental,medium_real,0,SRC_STOCK_5_PRICE,REPORT_STRESS,4,0,0,1,0.25,0.8,0.007867813110351562,1
APA-RCA-v2,A7_coincidental,medium_real,1,SRC_STOCK_3_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.6372928619384766,9
AnomalyOnly,A7_coincidental,medium_real,1,SRC_STOCK_3_PRICE,REPORT_STRESS,4,0,0,1,0.25,0.8,0.008344650268554688,1
APA-RCA-v2,A7_coincidental,medium_real,2,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.6210803985595703,9
AnomalyOnly,A7_coincidental,medium_real,2,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,4,0,0,1,0.25,0.8,0.0069141387939453125,1
APA-RCA-v2,A7_coincidental,medium_real,3,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.6859302520751953,9
AnomalyOnly,A7_coincidental,medium_real,3,SRC_STOCK_5_PRICE,REPORT_DASHBOARD,5,0,0,1,0.2,0.8,0.007867813110351562,1
APA-RCA-v2,A7_coincidental,medium_real,4,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.6449222564697266,9
AnomalyOnly,A7_coincidental,medium_real,4,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.0069141387939453125,1
APA-RCA-v2,A7_coincidental,medium_real,5,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.6768703460693359,9
AnomalyOnly,A7_coincidental,medium_real,5,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,6,0,0,0,0.16666666666666666,1.0,0.0069141387939453125,1
APA-RCA-v2,A7_coincidental,medium_real,6,SRC_STOCK_3_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.9391307830810547,9
AnomalyOnly,A7_coincidental,medium_real,6,SRC_STOCK_3_PRICE,REPORT_STRESS,5,0,0,1,0.2,0.8,0.0069141387939453125,1
APA-RCA-v2,A7_coincidental,medium_real,7,SRC_STOCK_5_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.6709098815917969,9
AnomalyOnly,A7_coincidental,medium_real,7,SRC_STOCK_5_PRICE,REPORT_STRESS,3,0,1,1,0.3333333333333333,0.8,0.007867813110351562,1
APA-RCA-v2,A7_coincidental,medium_real,8,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.9710788726806641,9
AnomalyOnly,A7_coincidental,medium_real,8,SRC_STOCK_4_PRICE,REPORT_DASHBOARD,6,0,0,0,0.16666666666666666,1.0,0.006198883056640625,1
APA-RCA-v2,A7_coincidental,medium_real,9,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.6480216979980469,9
AnomalyOnly,A7_coincidental,medium_real,9,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.0069141387939453125,1
