method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
Schema-Constraint,A2_etl_logic_error,small,17,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,18,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.4467964172363281,9
Schema-Constraint,A2_etl_logic_error,small,18,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,19,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.4742145538330078,9
Schema-Constraint,A2_etl_logic_error,small,19,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,17,0,0,0,0.058823529411764705,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,20,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.4558563232421875,9
Schema-Constraint,A2_etl_logic_error,small,20,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,21,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.4620552062988281,9
Schema-Constraint,A2_etl_logic_error,small,21,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,16,0,0,0,0.0625,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,22,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.43892860412597656,9
Schema-Constraint,A2_etl_logic_error,small,22,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,23,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.45371055603027344,9
Schema-Constraint,A2_etl_logic_error,small,23,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,16,0,0,0,0.0625,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,24,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.46515464782714844,9
Schema-Constraint,A2_etl_logic_error,small,24,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,17,0,0,0,0.058823529411764705,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,25,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.47397613525390625,9
Schema-Constraint,A2_etl_logic_error,small,25,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,17,0,0,0,0.058823529411764705,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,26,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.44608116149902344,9
Schema-Constraint,A2_etl_logic_error,small,26,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,27,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.47898292541503906,9
Schema-Constraint,A2_etl_logic_error,small,27,ETL_FX_STOCK_1_PRICE,REPORT_LIMIT,16,0,0,0,0.0625,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,28,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.4818439483642578,9
Schema-Constraint,A2_etl_logic_error,small,28,ETL_FX_STOCK_2_PRICE,REPORT_LIMIT,17,0,0,0,0.058823529411764705,1.0,0.0,0
APA-RCA,A2_etl_logic_error,small,29,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.4990100860595703,9
Schema-Constraint,A2_etl_logic_error,small,29,ETL_FX_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,0,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,6,0,0,0,0.16666666666666666,1.0,0.45490264892578125,9
Schema-Constraint,A3_feature_calc_error,small,0,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,27,0,0,0,0.037037037037037035,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,1,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,10,0,0,0,0.1,1.0,0.44798851013183594,9
Schema-Constraint,A3_feature_calc_error,small,1,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,2,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,8,0,0,0,0.125,1.0,0.4458427429199219,9
Schema-Constraint,A3_feature_calc_error,small,2,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,27,0,0,0,0.037037037037037035,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,3,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,14,0,0,0,0.07142857142857142,1.0,0.4410743713378906,9
Schema-Constraint,A3_feature_calc_error,small,3,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,27,0,0,0,0.037037037037037035,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,4,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,7,0,0,0,0.14285714285714285,1.0,0.4429817199707031,9
Schema-Constraint,A3_feature_calc_error,small,4,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,27,0,0,0,0.037037037037037035,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,5,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,7,0,0,0,0.14285714285714285,1.0,0.4367828369140625,9
Schema-Constraint,A3_feature_calc_error,small,5,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,27,0,0,0,0.037037037037037035,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,6,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.48470497131347656,9
Schema-Constraint,A3_feature_calc_error,small,6,FEAT_VOL20_STOCK_2_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.0,0
APA-RCA,A3_feature_calc_error,small,7,FEAT_VOL20_STOCK_3_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.4630088806152344,9
